Absolute Number,TS_Ver,TS_Degree of Automation,TS_State of Automation
4660,passed,Auto,Implemented
4890,passed,Auto,Implemented
4664,passed,Auto,Implemented
16022,passed,Auto,Implemented
16023,passed,Auto,Implemented
16024,passed,Auto,Implemented
16025,,Auto,In work
4701,,Auto,In work
4703,,Auto,In work
18276,passed,Auto,Implemented
16150,,Auto,In work
16151,,Auto,In work
18277,passed,Auto,Implemented
17170,passed,Auto,Implemented
17173,passed,Auto,Implemented
17172,,Auto,In work
17177,,Auto,In work
17174,,Auto,In work
17175,,Auto,In work
17176,,Auto,In work
17178,,Auto,In work
17563,,Auto,In work
17179,,Auto,In work
17180,,Auto,In work
17181,,Auto,In work
17182,,Auto,In work
17183,,Auto,In work
17184,,Auto,In work
17564,,Auto,In work
17565,,Auto,In work
17569,,Auto,In work
4679,passed,Auto,Implemented
4680,passed,Auto,Implemented
4681,passed,Auto,Implemented
4682,passed,Auto,Implemented
16027,passed,Auto,Implemented
4683,passed,Auto,Implemented
4684,passed,Auto,Implemented
4685,passed,Auto,Implemented
4686,passed,Auto,Implemented
4704,passed,Auto,Implemented
4705,passed,Auto,Implemented
4706,passed,Auto,Implemented
15596,passed,Auto,Implemented
4707,passed,Auto,Implemented
4708,passed,Auto,Implemented
4712,passed,Auto,Implemented
4715,passed,Auto,Implemented
4716,passed,Auto,Implemented
4720,passed,Auto,Implemented
15853,passed,Auto,Implemented
15854,passed,Auto,Implemented
15855,passed,Auto,Implemented
15856,passed,Auto,Implemented
4721,passed,Auto,Implemented
4723,passed,Auto,Implemented
16152,passed,Auto,Implemented
16619,passed,Auto,Implemented
16620,passed,Auto,Implemented
16621,passed,Auto,Implemented
16622,passed,Auto,Implemented
17140,,Auto,In work
4731,passed,Auto,Implemented
4732,passed,Auto,Implemented
4733,,Auto,In work
7481,,Auto,In work
7482,passed,Auto,Implemented
7484,passed,Auto,Implemented
7483,,Auto,In work
4744,passed,Auto,Implemented
16904,passed,Auto,Implemented
4745,,Auto,In work
16658,,Auto,In work
4734,passed,Auto,Implemented
4735,,Auto,In work
4736,,Auto,In work
4758,,Auto,In work
4762,,Auto,In work
4759,,Auto,In work
4763,,Auto,In work
4761,,Auto,In work
4753,,Auto,In work
17144,,Auto,In work
4957,,Auto,In work
4958,,Auto,In work
4959,,Auto,In work
4960,,Auto,In work
4968,passed,Auto,Implemented
4969,passed,Auto,Implemented
16153,,Auto,In work
16154,,Auto,In work
4970,passed,Auto,Implemented
4971,passed,Auto,Implemented
4972,passed,Auto,Implemented
4973,passed,Auto,Implemented
5017,,Auto,In work
5019,,Auto,In work
5020,,Auto,In work
5021,,Auto,In work
7472,,Auto,In work
5022,,Auto,In work
7473,,Auto,In work
7474,,Auto,In work
7477,,Auto,In work
17611,,Auto,In work
8107,passed,Auto,Implemented
8108,passed,Auto,Implemented
7984,passed,Auto,Implemented
7985,passed,Auto,Implemented
7986,passed,Auto,Implemented
7987,passed,Auto,Implemented
7988,passed,Auto,Implemented
7989,passed,Auto,Implemented
7990,passed,Auto,Implemented
7991,passed,Auto,Implemented
7992,passed,Auto,Implemented
17130,passed,Auto,Implemented
16441,passed,Auto,Implemented
8100,passed,Auto,Implemented
7870,passed,Auto,Implemented
7871,passed,Auto,Implemented
7873,passed,Auto,Implemented
7874,passed,Auto,Implemented
8186,passed,Auto,Implemented
8187,passed,Auto,Implemented
7876,passed,Auto,Implemented
7877,passed,Auto,Implemented
7878,passed,Auto,Implemented
7880,passed,Auto,Implemented
7881,passed,Auto,Implemented
7883,passed,Auto,Implemented
7884,passed,Auto,Implemented
7886,passed,Auto,Implemented
7887,passed,Auto,Implemented
7889,passed,Auto,Implemented
7890,passed,Auto,Implemented
7892,passed,Auto,Implemented
7893,passed,Auto,Implemented
7894,passed,Auto,Implemented
7895,passed,Auto,Implemented
16472,passed,Auto,Implemented
16473,passed,Auto,Implemented
16474,passed,Auto,Implemented
16476,passed,Auto,Implemented
16477,passed,Auto,Implemented
16479,passed,Auto,Implemented
16480,passed,Auto,Implemented
16482,passed,Auto,Implemented
16483,passed,Auto,Implemented
16485,passed,Auto,Implemented
16486,passed,Auto,Implemented
7946,,Auto,In work
16561,,Auto,In work
7901,passed,Auto,Implemented
7902,passed,Auto,Implemented
7903,passed,Auto,Implemented
7904,passed,Auto,Implemented
7908,passed,Auto,Implemented
7906,passed,Auto,Implemented
7924,passed,Auto,Implemented
7925,passed,Auto,Implemented
7926,passed,Auto,Implemented
7927,passed,Auto,Implemented
16104,passed,Auto,Implemented
7907,passed,Auto,Implemented
7909,passed,Auto,Implemented
7911,passed,Auto,Implemented
7912,passed,Auto,Implemented
7913,passed,Auto,Implemented
7914,passed,Auto,Implemented
17281,passed,Auto,Implemented
17282,passed,Auto,Implemented
7910,passed,Auto,Implemented
7915,passed,Auto,Implemented
17283,passed,Auto,Implemented
7916,passed,Auto,Implemented
7917,passed,Auto,Implemented
8102,passed,Auto,Implemented
7918,passed,Auto,Implemented
7919,passed,Auto,Implemented
7920,passed,Auto,Implemented
7921,passed,Auto,Implemented
7922,passed,Auto,Implemented
7923,passed,Auto,Implemented
8103,passed,Auto,Implemented
7929,passed,Auto,Implemented
8104,passed,Auto,Implemented
17575,passed,Auto,Implemented
17576,passed,Auto,Implemented
7930,passed,Auto,Implemented
7931,passed,Auto,Implemented
17573,passed,Auto,Implemented
17574,passed,Auto,Implemented
17577,passed,Auto,Implemented
17578,passed,Auto,Implemented
17579,passed,Auto,Implemented
17580,passed,Auto,Implemented
7933,passed,Auto,Implemented
16087,passed,Auto,Implemented
16088,passed,Auto,Implemented
7935,passed,Auto,Implemented
7936,passed,Auto,Implemented
15946,passed,Auto,Implemented
15947,passed,Auto,Implemented
7937,passed,Auto,Implemented
8188,passed,Auto,Implemented
7938,passed,Auto,Implemented
15929,passed,Auto,Implemented
15948,passed,Auto,Implemented
15949,passed,Auto,Implemented
7939,passed,Auto,Implemented
7940,passed,Auto,Implemented
16528,passed,Auto,Implemented
16531,passed,Auto,Implemented
16532,passed,Auto,Implemented
16533,passed,Auto,Implemented
16534,passed,Auto,Implemented
16537,passed,Auto,Implemented
16538,passed,Auto,Implemented
16539,passed,Auto,Implemented
16540,passed,Auto,Implemented
16541,,Auto,In work
16542,passed,Auto,Implemented
16543,passed,Auto,Implemented
16544,passed,Auto,Implemented
16545,passed,Auto,Implemented
16546,passed,Auto,Implemented
16547,passed,Auto,Implemented
16548,passed,Auto,Implemented
16550,passed,Auto,Implemented
16551,passed,Auto,Implemented
16552,passed,Auto,Implemented
16553,passed,Auto,Implemented
16554,passed,Auto,Implemented
16555,passed,Auto,Implemented
17612,passed,Auto,Implemented
17613,passed,Auto,Implemented
17614,passed,Auto,Implemented
17615,passed,Auto,Implemented
17284,passed,Auto,Implemented
17285,passed,Auto,Implemented
17286,passed,Auto,Implemented
17287,passed,Auto,Implemented
7945,,Auto,In work
7960,,Auto,In work
7961,,Auto,In work
7947,passed,Auto,Implemented
7949,passed,Auto,Implemented
7951,passed,Auto,Implemented
7953,passed,Auto,Implemented
7956,passed,Auto,Implemented
7957,passed,Auto,Implemented
7958,passed,Auto,Implemented
7959,passed,Auto,Implemented
7963,passed,Auto,Implemented
7964,passed,Auto,Implemented
7965,passed,Auto,Implemented
7966,passed,Auto,Implemented
7967,passed,Auto,Implemented
7968,passed,Auto,Implemented
7969,passed,Auto,Implemented
7970,passed,Auto,Implemented
7971,passed,Auto,Implemented
7973,passed,Auto,Implemented
7974,passed,Auto,Implemented
7975,passed,Auto,Implemented
7976,passed,Auto,Implemented
7977,passed,Auto,Implemented
8110,,Auto,In work
8111,,Auto,In work
8011,,Auto,In work
8012,passed,Auto,Implemented
8013,passed,Auto,Implemented
8014,passed,Auto,Implemented
8015,passed,Auto,Implemented
8016,,Auto,In work
8017,,Auto,In work
8019,passed,Auto,Implemented
8020,passed,Auto,Implemented
8073,passed,Auto,Implemented
8021,,Auto,In work
8022,,Auto,In work
8024,passed,Auto,Implemented
8025,passed,Auto,Implemented
8026,,Auto,In work
8027,,Auto,In work
8028,,Auto,In work
8030,,Auto,In work
8031,,Auto,In work
8032,,Auto,In work
8034,,Auto,In work
8035,,Auto,In work
8036,,Auto,In work
8038,,Auto,In work
8039,,Auto,In work
8041,,Auto,In work
8042,,Auto,In work
8043,,Auto,In work
8044,,Auto,In work
8045,,Auto,In work
8046,,Auto,In work
8047,,Auto,In work
8048,,Auto,In work
8050,passed,Auto,Implemented
8051,passed,Auto,Implemented
8053,,Auto,In work
8054,,Auto,In work
8055,,Auto,In work
8056,passed,Auto,Implemented
8057,,Auto,In work
8058,,Auto,In work
8059,,Auto,In work
8060,,Auto,In work
8061,,Auto,In work
8062,,Auto,In work
8063,,Auto,In work
8064,,Auto,In work
8065,passed,Auto,Implemented
8066,passed,Auto,Implemented
8067,,Auto,In work
8068,,Auto,In work
8069,,Auto,In work
8070,,Auto,In work
8075,,Auto,In work
8076,,Auto,In work
8077,,Auto,In work
8078,,Auto,In work
8081,,Auto,In work
8082,,Auto,In work
8083,,Auto,In work
8084,,Auto,In work
8085,,Auto,In work
8086,,Auto,In work
8087,,Auto,In work
8088,,Auto,In work
8089,,Auto,In work
8090,,Auto,In work
8091,,Auto,In work
8092,,Auto,In work
8094,,Auto,In work
8095,passed,Auto,Implemented
8096,,Auto,In work
8097,passed,Auto,Implemented
8098,,Auto,In work
8099,,Auto,In work
5146,,Auto,In work
5143,,Auto,In work
5144,,Auto,In work
5145,,Auto,In work
5230,,Auto,In work
5148,,Auto,In work
5149,,Auto,In work
5150,,Auto,In work
5151,,Auto,In work
15957,passed,Auto,Implemented
15958,passed,Auto,Implemented
15959,passed,Auto,Implemented
5153,,Auto,In work
15607,,Auto,In work
15608,passed,Auto,Implemented
5114,,Auto,In work
5115,,Auto,In work
5118,,Auto,In work
5119,,Auto,In work
5120,passed,Auto,Implemented
5121,,Auto,In work
5124,passed,Auto,Implemented
5125,,Auto,In work
5155,,Auto,In work
5156,,Auto,In work
5157,,Auto,In work
5158,,Auto,In work
5159,,Auto,In work
5160,,Auto,In work
5161,,Auto,In work
5162,,Auto,In work
5163,passed,Auto,Implemented
5164,passed,Auto,Implemented
5166,,Auto,In work
5167,,Auto,In work
5168,passed,Auto,Implemented
5191,,Auto,In work
17570,,Auto,In work
7807,,Auto,In work
17571,,Auto,In work
7808,,Auto,In work
16157,,Auto,In work
16158,,Auto,In work
16159,,Auto,In work
5196,,Auto,In work
17572,,Auto,In work
5197,,Auto,In work
5198,,Auto,In work
5199,,Auto,In work
5200,,Auto,In work
7809,passed,Auto,Implemented
16056,,Auto,In work
16155,passed,Auto,Implemented
16156,,Auto,In work
5127,passed,Auto,Implemented
5128,,Auto,In work
17647,,Auto,In work
17648,,Auto,In work
17650,,Auto,In work
17651,,Auto,In work
5129,passed,Auto,Implemented
5131,,Auto,In work
5132,,Auto,In work
5133,,Auto,In work
5134,,Auto,In work
5135,,Auto,In work
5136,,Auto,In work
5226,,Auto,In work
5227,,Auto,In work
7810,,Auto,In work
7811,,Auto,In work
7812,,Auto,In work
7813,,Auto,In work
7698,passed,Auto,Implemented
7701,passed,Auto,Implemented
15952,,Auto,In work
15953,,Auto,In work
7762,passed,Auto,Implemented
7763,passed,Auto,Implemented
7764,passed,Auto,Implemented
7766,passed,Auto,Implemented
7765,passed,Auto,Implemented
7767,passed,Auto,Implemented
7732,passed,Auto,Implemented
7733,passed,Auto,Implemented
7734,passed,Auto,Implemented
7735,passed,Auto,Implemented
7752,passed,Auto,Implemented
7736,passed,Auto,Implemented
7737,passed,Auto,Implemented
15921,passed,Auto,Implemented
15922,passed,Auto,Implemented
17555,passed,Auto,Implemented
7738,passed,Auto,Implemented
7739,passed,Auto,Implemented
7745,passed,Auto,Implemented
16660,,Auto,In work
16661,,Auto,In work
16662,,Auto,In work
16663,,Auto,In work
16664,,Auto,In work
16665,,Auto,In work
16681,,Auto,In work
7819,,Auto,In work
7820,passed,Auto,Implemented
7821,,Auto,In work
7822,,Auto,In work
7823,passed,Auto,Implemented
7852,,Auto,In work
7853,,Auto,In work
16106,,Auto,In work
16107,,Auto,In work
7857,,Auto,In work
7858,,Auto,In work
7859,,Auto,In work
16693,,Auto,In work
16696,,Auto,In work
16697,,Auto,In work
16694,,Auto,In work
16695,,Auto,In work
16698,passed,Auto,Implemented
16699,passed,Auto,Implemented
16685,,Auto,In work
16686,,Auto,In work
16687,,Auto,In work
16688,,Auto,In work
16689,,Auto,In work
16690,,Auto,In work
16691,,Auto,In work
16692,,Auto,In work
4517,passed,Auto,Implemented
4519,passed,Auto,Implemented
4527,passed,Auto,Implemented
4627,passed,Auto,Implemented
4629,passed,Auto,Implemented
4530,passed,Auto,Implemented
4531,passed,Auto,Implemented
4533,passed,Auto,Implemented
4537,passed,Auto,Implemented
4541,passed,Auto,Implemented
4545,passed,Auto,Implemented
4546,passed,Auto,Implemented
16792,,Auto,In work
17386,passed,Auto,Implemented
17388,,Auto,In work
16037,passed,Auto,Implemented
16046,passed,Auto,Implemented
16050,passed,Auto,Implemented
17922,passed,Auto,Implemented
16051,passed,Auto,Implemented
1384,passed,Auto,Implemented
7860,passed,Auto,Implemented
3606,passed,Auto,Implemented
3608,passed,Auto,Implemented
3607,passed,Auto,Implemented
1386,passed,Auto,Implemented
1440,passed,Auto,Implemented
1387,passed,Auto,Implemented
1441,passed,Auto,Implemented
1442,passed,Auto,Implemented
2937,,Auto,In work
2940,passed,Auto,Implemented
2942,passed,Auto,Implemented
2946,passed,Auto,Implemented
2951,,Auto,In work
2958,,Auto,In work
2959,,Auto,In work
16064,passed,Auto,Implemented
2960,,Auto,In work
16077,,Auto,In work
2963,passed,Auto,Implemented
2964,passed,Auto,Implemented
2967,passed,Auto,Implemented
2969,passed,Auto,Implemented
2971,,Auto,In work
2972,,Auto,In work
15872,passed,Auto,Implemented
15874,passed,Auto,Implemented
2989,passed,Auto,Implemented
2990,,Auto,In work
16065,passed,Auto,Implemented
16073,passed,Auto,Implemented
2994,passed,Auto,Implemented
2995,passed,Auto,Implemented
3001,,Auto,In work
3002,,Auto,In work
3003,,Auto,In work
3006,,Auto,In work
3011,passed,Auto,Implemented
1156,,Auto,In work
1158,,Auto,In work
1159,,Auto,In work
1160,,Auto,In work
3615,,Auto,In work
16264,passed,Auto,Implemented
16267,passed,Auto,Implemented
16268,passed,Auto,Implemented
16269,passed,Auto,Implemented
4767,passed,Auto,Implemented
4768,passed,Auto,Implemented
4769,passed,Auto,Implemented
16243,passed,Auto,Implemented
16244,passed,Auto,Implemented
16246,passed,Auto,Implemented
4772,passed,Auto,Implemented
4773,passed,Auto,Implemented
4774,passed,Auto,Implemented
16026,,Auto,In work
4780,,Auto,In work
4781,passed,Auto,Implemented
4782,passed,Auto,Implemented
4783,passed,Auto,Implemented
4784,passed,Auto,Implemented
4827,,Auto,In work
8001,,Auto,In work
4787,passed,Auto,Implemented
4786,,Auto,In work
4788,passed,Auto,Implemented
4790,passed,Auto,Implemented
4792,passed,Auto,Implemented
4793,passed,Auto,Implemented
4794,passed,Auto,Implemented
4795,passed,Auto,Implemented
8004,passed,Auto,Implemented
4803,passed,Auto,Implemented
4832,passed,Auto,Implemented
15738,,Auto,In work
4833,passed,Auto,Implemented
4834,passed,Auto,Implemented
15954,passed,Auto,Implemented
15955,passed,Auto,Implemented
15956,passed,Auto,Implemented
4837,passed,Auto,Implemented
4836,,Auto,In work
4838,passed,Auto,Implemented
4839,passed,Auto,Implemented
4840,passed,Auto,Implemented
4841,passed,Auto,Implemented
4842,passed,Auto,Implemented
4844,passed,Auto,Implemented
4845,,Auto,In work
18028 ,passed,Auto,Implemented
18029,passed,Auto,Implemented
4851,passed,Auto,Implemented
4849,passed,Auto,Implemented
4854,passed,Auto,Implemented
4856,passed,Auto,Implemented
17560,passed,Auto,Implemented
4852,passed,Auto,Implemented
4855,passed,Auto,Implemented
18592,,Auto,In work
18742,,Auto,In work
18744,,Auto,In work
4806,passed,Auto,Implemented
4807,passed,Auto,Implemented
4808,passed,Auto,Implemented
17639,passed,Auto,Implemented
17640,passed,Auto,Implemented
4828,passed,Auto,Implemented
4829,passed,Auto,Implemented
15964,passed,Auto,Implemented
17641,passed,Auto,Implemented
17642,passed,Auto,Implemented
17643,passed,Auto,Implemented
4810,passed,Auto,Implemented
4812,passed,Auto,Implemented
4813,passed,Auto,Implemented
4814,passed,Auto,Implemented
4815,passed,Auto,Implemented
17632,passed,Auto,Implemented
4821,passed,Auto,Implemented
4823,passed,Auto,Implemented
4824,passed,Auto,Implemented
4825,passed,Auto,Implemented
4826,passed,Auto,Implemented
17633,passed,Auto,Implemented
17634,passed,Auto,Implemented
17635,passed,Auto,Implemented
17636,passed,Auto,Implemented
17608,passed,Auto,Implemented
17609,passed,Auto,Implemented
17617,passed,Auto,Implemented
17618,passed,Auto,Implemented
17619,passed,Auto,Implemented
17620,passed,Auto,Implemented
17621,passed,Auto,Implemented
17622,passed,Auto,Implemented
17623,passed,Auto,Implemented
18009,passed,Auto,Implemented
18010,passed,Auto,Implemented
18011,passed,Auto,Implemented
18012,passed,Auto,Implemented
18016,passed,Auto,Implemented
17624,passed,Auto,Implemented
17625,passed,Auto,Implemented
17626,passed,Auto,Implemented
17627,passed,Auto,Implemented
17628,passed,Auto,Implemented
17629,passed,Auto,Implemented
18013,passed,Auto,Implemented
18014,passed,Auto,Implemented
18015,passed,Auto,Implemented
4859,,Auto,In work
4860,passed,Auto,Implemented
4861,passed,Auto,Implemented
18001,passed,Auto,Implemented
18002,passed,Auto,Implemented
17975,passed,Auto,Implemented
17998,passed,Auto,Implemented
17999,passed,Auto,Implemented
18000,passed,Auto,Implemented
18003,passed,Auto,Implemented
18004,passed,Auto,Implemented
18005,passed,Auto,Implemented
18006,passed,Auto,Implemented
18007,passed,Auto,Implemented
18008,passed,Auto,Implemented
18184,passed,Auto,Implemented
18185,passed,Auto,Implemented
18186,,Auto,In work
18187,,Auto,In work
18188,passed,Auto,Implemented
18189,passed,Auto,Implemented
17976,passed,Auto,Implemented
17288,passed,Auto,Implemented
16223,passed,Auto,Implemented
16224,passed,Auto,Implemented
16225,passed,Auto,Implemented
4878,passed,Auto,Implemented
4873,passed,Auto,Implemented
4874,passed,Auto,Implemented
4875,passed,Auto,Implemented
4876,passed,Auto,Implemented
15973,passed,Auto,Implemented
15976,passed,Auto,Implemented
15857,passed,Auto,Implemented
15858,passed,Auto,Implemented
15859,passed,Auto,Implemented
8329,,Auto,In work
15972,,Auto,In work
15860,passed,Auto,Implemented
4863,passed,Auto,Implemented
4864,passed,Auto,Implemented
4865,passed,Auto,Implemented
4866,passed,Auto,Implemented
4883,,Auto,In work
8324,passed,Auto,Implemented
8323,passed,Auto,Implemented
8328,passed,Auto,Implemented
15974,passed,Auto,Implemented
15975,passed,Auto,Implemented
4868,passed,Auto,Implemented
4885,passed,Auto,Implemented
4884,passed,Auto,Implemented
